CaseNo.,OnlineSearch,OnlineTeacher,OnlinePeer,MAP1,EP1,MAP2,PAV1,MAP3,MAV1,PAP1,MAV2,EP2,PAV2,MAV3,PAV3,EP3,PAP2,EP4,PAP3,PAP,PAV,MAV,MAP
113,4,3,4,3,3,3,3,3,3,2,4,2,4,4,3,3,2,3,3,1.787876065,2.509533411,3.137729325,2.225446863
114,4,1,4,3,3,3,2,3,2,3,3,3,4,2,2,3,2,2,3,2.060639095,1.880022042,1.983674362,2.223970272
115,2,4,3,4,2,3,2,3,2,2,4,2,4,2,3,2,3,4,3,2.126912767,2.144166768,2.227270132,2.549323468
116,3,2,3,4,3,3,3,4,3,4,3,3,4,3,3,3,3,4,3,2.680069531,2.450513425,2.63681288,2.825797823
117,3,2,2,4,4,4,4,4,2,4,2,3,1,2,2,3,4,3,4,3.149444902,1.817025675,1.746665787,2.977428293
118,3,3,4,4,3,4,3,4,3,3,4,3,4,3,3,4,3,4,3,2.411617004,2.478348672,2.834025635,2.950398549
119,4,3,2,3,3,3,3,3,3,2,3,3,4,3,3,3,2,2,2,1.63538872,2.326500065,2.655514766,2.208572916
120,3,1,2,3,3,4,2,4,3,2,3,3,2,3,2,3,2,2,2,1.619220249,1.786385063,2.522633901,2.587049156
121,4,2,2,4,3,4,2,4,1,3,3,3,1,2,3,4,2,2,3,2.089755981,1.635174096,1.682362965,2.917404545
122,4,2,2,4,3,3,2,3,4,1,4,2,4,3,4,3,2,4,2,1.375877042,2.535564289,3.157406572,2.521412841
123,3,4,2,4,4,4,3,4,2,2,3,2,2,3,4,2,2,3,3,1.83386557,2.217486029,2.379601154,2.910641542
124,2,1,1,4,3,4,1,4,1,4,1,3,2,2,3,3,3,3,3,2.682233797,1.590331259,1.294330292,2.943651245
125,3,2,3,3,3,2,2,2,2,3,3,2,4,2,3,2,2,3,3,2.055289988,2.079966247,2.027470814,1.84643776
126,3,1,2,3,3,2,3,2,3,3,3,3,2,3,3,3,3,2,3,2.349655578,2.189806917,2.564261792,1.873503078
127,4,2,2,3,4,3,2,3,3,4,3,4,4,2,3,4,4,1,4,3.127982915,2.302817259,2.28086255,2.286523205
128,4,2,3,3,4,3,3,3,3,3,3,2,2,3,2,3,3,3,3,2.355004686,1.989862713,2.52046534,2.25103559
129,4,2,3,4,4,3,3,4,3,1,4,3,5,4,4,4,1,4,1,0.925513459,2.70770961,3.259438245,2.735311387
130,4,2,3,4,3,3,3,3,3,3,3,3,5,3,3,4,3,2,3,2.404699511,2.53357076,2.670135352,2.570069906
131,2,1,3,3,2,3,3,3,3,3,3,3,2,2,4,4,2,3,3,2.072519542,2.246571496,2.332705319,2.22771889
132,3,3,3,3,2,3,3,3,4,4,4,4,5,4,4,4,4,1,1,2.647690014,3.021280031,3.471702379,2.275805385
133,4,3,2,4,4,4,3,3,2,4,2,3,4,3,3,4,4,2,4,3.159737986,2.355199905,2.156810705,2.74069661
134,4,1,4,4,3,4,2,4,2,4,4,2,5,2,3,4,4,4,4,3.17018236,2.384718685,2.234907445,2.982248614
135,4,1,4,4,4,4,4,3,3,4,3,3,4,3,3,3,2,3,3,2.368564066,2.520824268,2.672548673,2.704325869
136,4,2,4,4,3,3,3,3,3,3,4,3,4,3,2,3,3,4,3,2.381196234,2.281935637,2.774023488,2.573965643
137,3,4,4,3,2,2,3,4,4,3,4,3,5,4,4,3,3,3,4,2.554001798,3.008526647,3.476913935,2.374202076
138,2,3,3,3,3,2,1,4,3,3,3,3,4,3,1,3,3,4,4,2.510306227,1.825074542,2.46949523,2.364349235
139,4,1,3,3,4,3,2,3,2,3,3,3,4,2,2,4,3,3,4,2.536143874,1.93917157,1.969307799,2.250248977
140,3,3,3,3,3,3,2,3,3,4,3,3,4,3,3,3,3,3,3,2.646572963,2.344323669,2.596258449,2.265138161
141,4,2,3,3,4,3,3,3,2,3,3,4,4,2,2,4,2,2,3,2.067522338,1.988839041,2.012171513,2.223668383
142,3,3,4,4,3,3,3,4,3,3,3,1,1,3,3,2,3,4,4,2.548879472,2.089894201,2.549232442,2.82072353
143,4,3,3,4,4,3,2,3,3,3,3,3,2,3,2,3,3,3,3,2.363328935,1.879544444,2.498858008,2.571884358
144,4,3,3,4,3,4,3,4,2,2,3,3,4,3,3,4,2,3,3,1.835964073,2.250661207,2.388289117,2.910549504
145,3,3,4,2,3,3,3,2,3,3,3,3,4,3,3,3,3,2,3,2.355561528,2.422022374,2.620894622,1.688882396
146,3,4,1,3,4,4,3,3,2,3,3,4,5,3,4,2,4,3,3,2.727409064,2.678874542,2.431287032,2.398356422
147,3,3,4,4,3,2,2,4,2,3,3,3,4,2,1,3,3,4,4,2.54374226,1.739005319,1.926530393,2.675192292
148,4,3,4,4,3,4,3,3,3,4,4,2,4,4,4,3,4,4,4,3.153627962,2.87120427,3.159223946,2.755598768
149,3,2,3,3,3,3,2,3,3,2,3,3,4,3,3,3,2,2,2,1.628505477,2.217683066,2.627017616,2.208874804
150,4,2,3,3,4,3,2,3,2,1,3,2,4,2,4,3,2,3,2,1.381105253,2.188731196,2.10876141,2.183930741
151,4,2,3,4,3,4,4,4,3,2,3,3,4,2,3,3,3,3,3,2.156774345,2.390543799,2.383608684,2.927185659
152,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,3,2,1,3,2.384827321,3.089159162,3.524341939,2.956296765
153,3,3,2,3,2,4,1,4,3,4,4,1,4,4,2,3,4,3,4,3.110988154,2.257588328,2.996708688,2.677169942
154,4,1,2,3,4,3,4,3,2,4,3,4,4,2,3,4,3,2,3,2.671684748,2.368572714,2.074900944,2.25513245
155,4,3,2,3,3,3,2,3,2,1,3,3,4,3,3,3,2,4,2,1.362664248,2.091208515,2.357891448,2.189374206
156,4,2,2,3,3,2,2,2,2,2,2,3,1,2,2,3,2,3,2,1.591128781,1.418633986,1.711701701,1.820977711
157,4,3,3,2,3,3,3,3,2,2,3,2,2,1,3,3,2,2,3,1.784840162,1.822763656,1.703760696,1.883327553
158,4,2,3,2,3,3,2,2,3,2,4,3,1,3,3,3,1,3,2,1.26282839,1.896507491,2.719631227,1.634577595
159,3,1,2,4,3,3,2,4,2,4,3,3,4,2,3,3,3,4,4,2.846574384,2.168468484,2.025068077,2.82565305
160,3,1,1,2,3,4,3,2,1,2,2,3,4,2,3,3,3,2,3,2.111194982,2.039302863,1.590270967,1.793522888
161,4,3,3,3,4,4,2,4,3,4,1,3,5,4,3,3,4,2,4,3.148675232,2.493599658,2.549155567,2.66692229
162,4,3,3,3,3,3,3,3,3,3,3,3,2,3,2,3,3,4,3,2.355004686,1.989862713,2.52046534,2.25103559
163,3,1,1,4,3,4,4,4,3,3,4,2,4,3,4,2,3,4,4,2.593078877,2.805501302,2.90952624,2.95850213
164,3,2,4,3,4,2,4,2,3,4,4,3,4,1,4,3,3,4,3,2.66315041,2.62281039,2.281071596,1.880239562
165,3,2,1,3,3,3,2,3,3,2,4,2,2,3,3,2,2,2,2,1.610220863,2.048549664,2.75251142,2.212541658
